block_group,tract,county,state,area_block_group,medincome_block_group,race_total_block_group,race_white_block_group,race_black_block_group,race_asian_block_group,hisp_total_block_group,hisp_yes_block_group,hisp_yes_black_block_group,hisp_yes_white_block_group,hisp_yes_asian_block_group,hisp_no_black_block_group,hisp_no_white_block_group,hisp_no_asian_block_group,grip4_block_group_dens_m_km2
"060374636013",Census Tract 4636.01,Los Angeles County,California,464563.546470561,84423,2312,1079,75,1040,2312,438,0,218,0,52,782,1006,1686.16788619824
"060374641004",Census Tract 4641,Los Angeles County,California,780969.689370456,196319,696,313,0,426,696,28,0,28,0,0,242,383,2522.17660857055
"060374641005",Census Tract 4641,Los Angeles County,California,602015.909360683,127438,1056,480,0,629,1056,0,0,0,0,0,427,576,1581.37127139186
"060371081011",Census Tract 1081.01,Los Angeles County,California,1139994.61951037,141893,2417,1636,111,540,2417,402,0,226,0,102,1360,495,6071.27334442295
"060371098001",Census Tract 1098,Los Angeles County,California,327407.284568063,71324,1283,645,98,319,1283,591,13,229,92,73,392,215,3638.76844352425
"060371112063",Census Tract 1112.06,Los Angeles County,California,494677.26805879,118750,867,487,9,113,867,260,0,133,0,8,354,113,5567.60180306275
"060371151041",Census Tract 1151.04,Los Angeles County,California,770277.967675715,108409,805,617,37,46,805,228,0,101,0,37,516,24,4765.93350850841
"060371154041",Census Tract 1154.04,Los Angeles County,California,581215.278375775,59375,1134,672,93,217,1134,510,0,368,0,73,281,205,1748.29214550428
"060371172021",Census Tract 1172.02,Los Angeles County,California,1295610.82354127,80000,1787,846,214,523,1787,624,0,380,12,196,431,489,2166.77559030979
"060377030013",Census Tract 7030.01,Los Angeles County,California,3227365.15192798,94013,1813,1071,462,429,1813,277,0,130,0,404,785,232,1531.41599241371
"060378003282",Census Tract 8003.28,Los Angeles County,California,1888027.89254107,100294,1337,1033,15,311,1337,53,0,42,0,0,945,293,1405.97865902905
"060490001002",Census Tract 1,Modoc County,California,2682523.47031312,45057,676,652,9,28,676,159,0,90,0,9,485,0,3969.18803906196
"060170318002",Census Tract 318,El Dorado County,California,5407912.77738246,158750,3853,2886,130,936,3853,255,0,183,0,29,2500,855,2184.08687550776
"060170308011",Census Tract 308.01,El Dorado County,California,21189192.3059101,105995,3155,2879,49,254,3155,286,0,249,0,7,2412,192,613.517767433362
"060470002021",Census Tract 2.02,Merced County,California,24610579.6564755,44931,1933,1100,4,59,1933,1276,0,450,0,4,598,55,501.057070395941
"060470003031",Census Tract 3.03,Merced County,California,77566646.8723,59375,1240,946,38,12,1240,464,0,204,0,38,717,12,83.8572229824252
"060014403322",Census Tract 4403.32,Alameda County,California,1757139.61165877,168295,1887,313,19,1552,1887,83,0,45,0,19,174,1414,3060.98753129445
"060014403331",Census Tract 4403.33,Alameda County,California,1739006.28220959,161964,1728,387,252,1150,1728,30,0,21,0,164,309,1085,5740.04795294751
"060014403351",Census Tract 4403.35,Alameda County,California,1107254.95771981,202398,3501,858,145,2491,3501,0,0,0,0,145,811,2444,9791.683734885
"060014415012",Census Tract 4415.01,Alameda County,California,1806245.76488556,136469,2836,421,101,2139,2836,304,0,70,0,92,286,1951,5234.76710667194
"060014415231",Census Tract 4415.23,Alameda County,California,151200.427722361,121519,1764,228,31,1442,1764,111,0,18,0,31,180,1412,22407.3243840209
